ip,timestamp,req_count,auth_fail_count,rapid_req_count,large_payload_count,xss_hits,sqli_hits,get_requests,avg_response_time,label
::1,2025-12-31 05:25:10+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:25:20+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:25:30+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:25:40+00:00,4,0,0,0,0,4,0,0.25,normal
::1,2025-12-31 05:25:50+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:26:00+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:26:10+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:26:20+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:26:30+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:26:40+00:00,3,0,0,0,0,3,0,1.0,normal
::1,2025-12-31 05:26:50+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:27:00+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:27:10+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:27:20+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:27:30+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:27:40+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:27:50+00:00,4,0,0,0,0,4,0,0.0,normal
::1,2025-12-31 05:28:00+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:28:10+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:28:20+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:28:30+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:28:40+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:28:50+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:29:00+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:29:10+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:29:20+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:29:30+00:00,4,0,0,0,0,4,0,1.0,normal
::1,2025-12-31 05:29:40+00:00,4,0,0,0,0,4,0,0.75,normal
::1,2025-12-31 05:29:50+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:30:00+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:30:10+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:30:20+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:30:30+00:00,2,0,0,0,0,2,0,0.0,normal
::1,2025-12-31 05:30:40+00:00,4,0,0,0,0,4,0,0.75,normal
::1,2025-12-31 05:30:50+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:31:00+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:31:10+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:31:20+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:31:30+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:31:40+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:31:50+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:32:00+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:32:10+00:00,5,0,0,0,0,5,0,0.4,normal
::1,2025-12-31 05:32:20+00:00,2,0,0,0,0,2,0,0.5,normal
::1,2025-12-31 05:32:30+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:32:40+00:00,3,0,0,0,0,3,0,1.0,normal
::1,2025-12-31 05:32:50+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:33:00+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:33:10+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:33:20+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:33:30+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:33:40+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:33:50+00:00,2,0,0,0,0,2,0,1.0,normal
::1,2025-12-31 05:40:30+00:00,50,50,49,0,0,50,0,0.32,sql_injection
::1,2025-12-31 05:40:50+00:00,50,50,49,0,0,50,0,0.46,sql_injection
::1,2025-12-31 05:41:10+00:00,50,50,49,0,0,50,0,0.44,sql_injection
::1,2025-12-31 05:41:30+00:00,50,50,49,0,0,50,0,0.48,sql_injection
::1,2025-12-31 05:41:50+00:00,50,50,49,0,0,50,0,0.46,sql_injection
::1,2025-12-31 05:42:10+00:00,50,50,49,0,0,50,0,0.46,sql_injection
::1,2025-12-31 05:58:30+00:00,1,0,0,0,0,1,1,2.0,brute_force
::1,2025-12-31 10:34:20+00:00,2,2,0,0,0,2,0,3.5,sql_injection
::1,2025-12-31 10:35:00+00:00,2,2,0,0,0,2,0,0.5,sql_injection
::1,2025-12-31 10:35:40+00:00,2,2,0,0,0,2,0,0.5,sql_injection
::1,2025-12-31 10:36:20+00:00,2,2,0,0,0,2,0,0.5,sql_injection
::1,2025-12-31 10:37:00+00:00,2,2,0,0,0,2,0,0.0,sql_injection
::1,2025-12-31 10:42:10+00:00,2,0,0,0,0,2,0,1.0,brute_force
::1,2025-12-31 10:42:20+00:00,3,0,0,0,0,3,0,0.6666666666666666,brute_force
::1,2025-12-31 10:42:30+00:00,3,0,0,0,0,3,0,0.6666666666666666,brute_force
::1,2025-12-31 10:42:40+00:00,3,0,0,0,0,3,0,0.0,brute_force
::1,2025-12-31 10:42:50+00:00,3,0,0,0,0,3,0,0.6666666666666666,brute_force
::1,2025-12-31 10:43:00+00:00,5,0,0,0,0,5,0,0.2,brute_force
::1,2025-12-31 10:43:10+00:00,3,0,0,0,0,3,0,0.6666666666666666,brute_force
::1,2025-12-31 10:43:20+00:00,4,0,0,0,0,4,0,0.5,brute_force
::1,2025-12-31 10:43:30+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 10:43:40+00:00,4,0,0,0,0,4,0,0.25,normal
::1,2025-12-31 10:43:50+00:00,4,0,0,0,0,4,0,0.0,normal
::1,2025-12-31 10:44:00+00:00,2,0,0,0,0,2,0,1.0,normal
::1,2025-12-31 10:44:10+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 10:44:20+00:00,4,0,0,0,0,4,0,0.25,normal
::1,2025-12-31 10:44:30+00:00,2,0,0,0,0,2,0,0.5,normal
::1,2025-12-31 10:44:40+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 10:44:50+00:00,4,0,0,0,0,4,0,0.75,normal
::1,2025-12-31 10:45:00+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 10:45:10+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 10:45:20+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 10:45:30+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 10:45:40+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 10:45:50+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 10:46:00+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 10:46:10+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 10:46:20+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 10:46:30+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 10:46:40+00:00,3,0,0,0,0,3,0,1.0,normal
::1,2025-12-31 10:46:50+00:00,4,0,0,0,0,4,0,0.75,normal
::1,2025-12-31 10:47:00+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 10:47:10+00:00,4,0,0,0,0,4,0,0.25,normal
::1,2025-12-31 10:47:20+00:00,4,0,0,0,0,4,0,0.25,normal
::1,2025-12-31 10:47:30+00:00,4,0,0,0,0,4,0,0.25,normal
::1,2025-12-31 10:47:40+00:00,4,0,0,0,0,4,0,0.75,normal
::1,2025-12-31 10:47:50+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 10:48:00+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 10:48:10+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 10:48:20+00:00,4,0,0,0,0,4,0,0.75,normal
::1,2025-12-31 10:48:30+00:00,4,0,0,0,0,4,0,0.25,normal
::1,2025-12-31 10:48:40+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 10:48:50+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 10:49:00+00:00,5,0,0,0,0,5,0,0.6,normal
::1,2025-12-31 10:49:10+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 10:55:50+00:00,2,2,0,2,2,2,0,0.0,xss
::1,2025-12-31 10:56:20+00:00,2,2,0,2,2,2,0,0.5,xss
::1,2025-12-31 10:56:50+00:00,2,2,0,2,2,2,0,0.0,xss
::1,2025-12-31 17:58:40+00:00,1,0,0,0,0,1,0,12.0,brute_force
::1,2025-12-31 17:58:50+00:00,3,0,0,0,0,3,0,0.6666666666666666,brute_force
::1,2025-12-31 17:59:00+00:00,2,0,0,0,0,2,0,1.0,brute_force
::1,2025-12-31 17:59:10+00:00,2,0,0,0,0,2,0,1.5,brute_force
::1,2025-12-31 17:59:20+00:00,3,0,0,0,0,3,0,1.6666666666666667,brute_force
::1,2025-12-31 17:59:30+00:00,2,0,0,0,0,2,0,0.5,brute_force
::1,2025-12-31 17:59:40+00:00,3,0,0,0,0,3,0,0.6666666666666666,brute_force
::1,2025-12-31 17:59:50+00:00,2,0,0,0,0,2,0,1.0,brute_force
::1,2025-12-31 18:00:00+00:00,2,0,0,0,0,2,0,0.0,brute_force
::1,2025-12-31 18:00:10+00:00,2,0,0,0,0,2,0,0.5,brute_force
::1,2025-12-31 18:00:20+00:00,3,0,0,0,0,3,0,0.6666666666666666,brute_force
::1,2025-12-31 18:00:30+00:00,2,0,0,0,0,2,0,0.5,brute_force
::1,2025-12-31 18:00:40+00:00,2,0,0,0,0,2,0,0.0,normal
::1,2025-12-31 18:00:50+00:00,2,0,0,0,0,2,0,0.5,normal
::1,2025-12-31 18:01:00+00:00,2,0,0,0,0,2,0,1.0,normal
::1,2025-12-31 18:01:10+00:00,2,0,0,0,0,2,0,0.5,normal
